item_id,order_id,product_id,quantity,price_at_purchase
1,1,36,3,89.71
2,1,63,1,342.45
3,2,32,2,188.24
4,2,53,1,184.19
5,2,13,1,380.61
6,2,85,2,331.58
7,3,94,1,64.9
8,3,87,3,436.85
9,3,83,1,408.93
10,3,8,2,303.0
11,4,32,1,188.24
12,5,55,1,379.11
13,5,36,2,89.71
14,6,57,3,397.08
15,7,12,1,142.7
16,8,28,2,492.68
17,8,8,1,303.0
18,8,49,1,74.12
19,8,50,2,282.88
20,9,37,2,126.18
21,9,90,3,104.57
22,9,72,3,421.63
23,9,92,2,326.69
24,10,8,3,303.0
25,10,95,3,36.69
26,11,7,3,113.23
27,12,8,3,303.0
28,12,11,1,114.12
29,13,52,1,449.42
30,13,73,1,306.44
31,14,54,3,257.22
32,15,34,1,468.64
33,15,86,3,86.74
34,15,41,1,118.38
35,16,59,2,193.9
36,16,97,1,296.28
37,16,2,2,141.14
38,17,10,3,352.16
39,18,45,1,438.8
40,18,32,2,188.24
41,19,79,3,439.97
42,19,68,1,438.55
43,19,86,3,86.74
44,20,18,2,52.87
45,21,35,2,40.34
46,21,78,1,60.37
47,22,65,2,173.39
48,22,33,1,336.74
49,22,12,3,142.7
50,23,1,2,60.11
51,24,21,3,66.79
52,24,57,3,397.08
53,24,91,2,202.5
54,25,89,1,378.86
55,26,75,3,271.99
56,26,19,2,303.84
57,26,17,1,55.59
58,27,46,1,110.25
59,28,46,3,110.25
60,29,31,1,417.88
61,29,23,2,415.56
62,30,53,3,184.19
63,30,95,1,36.69
64,30,35,1,40.34
65,31,5,2,48.03
66,31,29,1,433.91
67,31,59,2,193.9
68,31,40,1,343.88
69,32,52,2,449.42
70,32,36,1,89.71
71,33,83,3,408.93
72,33,52,3,449.42
73,33,69,2,486.08
74,34,23,3,415.56
75,34,34,1,468.64
76,34,14,3,350.58
77,35,56,3,80.66
78,35,66,1,220.21
79,35,50,3,282.88
80,36,1,3,60.11
81,36,69,3,486.08
82,36,93,3,450.31
83,36,95,3,36.69
84,37,86,2,86.74
85,38,93,2,450.31
86,39,42,2,403.5
87,39,90,2,104.57
88,39,71,1,435.91
89,39,25,2,290.79
90,40,79,3,439.97
91,40,39,2,345.64
92,41,37,1,126.18
93,41,56,3,80.66
94,41,78,3,60.37
95,42,87,1,436.85
96,42,66,2,220.21
97,42,95,1,36.69
98,42,85,1,331.58
99,43,12,1,142.7
100,43,87,2,436.85
101,43,29,1,433.91
102,44,61,3,431.09
103,44,99,1,34.14
104,45,92,3,326.69
105,45,50,2,282.88
106,46,97,1,296.28
107,47,90,3,104.57
108,47,60,1,266.91
109,48,59,1,193.9
110,49,97,2,296.28
111,49,79,3,439.97
112,49,65,2,173.39
113,50,21,3,66.79
114,50,61,2,431.09
115,50,34,1,468.64
116,50,82,2,47.4
117,51,81,1,439.61
118,51,36,2,89.71
119,51,10,3,352.16
120,51,37,1,126.18
121,52,18,1,52.87
122,53,91,1,202.5
123,53,9,2,103.42
124,54,54,1,257.22
125,54,27,2,117.81
126,54,50,3,282.88
127,54,90,1,104.57
128,55,62,1,341.74
129,55,46,2,110.25
130,55,97,2,296.28
131,55,54,3,257.22
132,56,63,1,342.45
133,56,35,2,40.34
134,57,86,3,86.74
