order_id,customer_id,order_date,status
1,442,2025-10-05,completed
2,278,2025-11-04,completed
3,183,2026-08-16,completed
4,374,2026-08-20,completed
5,99,2025-11-21,completed
6,129,2026-06-04,cancelled
7,52,2025-10-18,completed
8,87,2026-02-20,completed
9,476,2026-05-23,pending
10,81,2025-11-30,completed
11,33,2026-06-04,pending
12,246,2026-02-03,completed
13,37,2026-05-01,completed
14,298,2025-11-24,completed
15,300,2026-07-11,completed
16,137,2026-06-01,completed
17,320,2026-03-15,returned
18,111,2026-05-31,completed
19,147,2026-03-05,completed
20,155,2026-06-09,cancelled
21,61,2026-04-19,cancelled
22,369,2026-07-27,completed
23,218,2026-02-23,pending
24,396,2026-03-19,completed
25,289,2025-10-14,completed
26,281,2026-09-06,completed
27,159,2025-12-20,completed
28,351,2026-08-02,completed
29,454,2026-04-13,cancelled
30,14,2025-11-23,completed
31,405,2025-10-30,pending
32,116,2026-06-20,completed
33,497,2025-11-22,pending
34,482,2026-07-22,completed
35,224,2026-06-18,completed
36,99,2025-12-07,completed
37,102,2026-02-06,completed
38,321,2026-07-17,completed
39,261,2026-01-01,completed
40,342,2026-02-12,cancelled
41,282,2026-05-07,pending
42,166,2025-12-03,completed
43,147,2025-12-15,completed
44,77,2026-01-19,completed
45,235,2025-12-12,completed
46,206,2025-09-17,completed
47,400,2026-08-06,completed
48,287,2026-05-23,completed
49,412,2025-12-27,completed
50,427,2025-11-13,cancelled
51,394,2025-10-07,pending
52,141,2026-03-14,completed
53,120,2026-08-11,completed
54,210,2025-10-07,completed
55,440,2026-06-18,cancelled
56,384,2026-02-19,pending
57,250,2026-05-19,completed
58,472,2026-08-09,completed
59,290,2026-02-25,completed
60,71,2026-09-07,cancelled
61,110,2026-05-19,completed
62,242,2026-01-09,completed
63,334,2026-06-24,completed
64,488,2026-08-15,completed
65,124,2026-05-28,completed
66,240,2026-04-24,completed
67,400,2026-09-01,pending
68,466,2026-04-11,returned
69,358,2026-06-08,pending
70,179,2026-01-09,completed
71,423,2026-01-24,completed
72,269,2026-07-08,returned
73,424,2026-01-28,pending
74,386,2026-01-02,completed
75,410,2026-03-13,completed
76,487,2026-04-02,completed
77,390,2026-06-14,completed
78,209,2025-12-07,completed
79,178,2025-11-16,completed
80,120,2026-05-25,completed
81,488,2026-02-11,pending
82,143,2026-08-03,pending
83,156,2026-01-11,completed
84,151,2026-07-03,completed
85,295,2026-08-26,completed
86,207,2026-02-09,completed
87,417,2026-07-29,completed
88,312,2026-03-03,completed
89,467,2025-11-09,completed
90,322,2026-06-12,completed
91,90,2026-02-03,completed
92,306,2026-08-28,completed
93,363,2026-07-31,completed
94,219,2026-06-30,completed
95,38,2026-02-01,completed
96,241,2026-07-30,completed
97,457,2025-11-08,completed
98,430,2026-01-26,cancelled
99,422,2026-02-20,completed
100,242,2026-07-11,completed
101,180,2026-08-12,completed
102,255,2025-11-09,completed
103,61,2026-08-27,returned
104,267,2025-12-03,completed
105,476,2025-09-20,completed
106,284,2026-03-06,completed
