review_id,product_id,customer_id,rating,review_text
1,37,191,1,Project group door movement under sometimes.
2,90,467,1,Admit within door hold bank.
3,43,475,5,Fly least get the west the now. Age chance officer single.
4,80,471,5,Professional begin current everyone test memory. Partner cultural above indeed.
5,66,46,5,Decision order behavior whose. Huge plan rule break.
6,24,391,4,Term under whether improve.
7,19,167,5,Boy sign pull.
8,48,296,4,Him bit tree among.
9,39,434,4,Land rich product. Service usually cup performance role already occur.
10,15,438,5,Front movie produce lay theory specific. Billion share example beyond expect smile raise.
11,2,234,5,Cell front across professor word change expert. Admit statement create suggest.
12,36,71,3,Style at score pretty south Democrat. Other campaign reason market admit best why.
13,100,369,4,Every interest grow force.
14,16,138,3,Film under deep agree walk thousand. Agent wrong us institution.
15,16,479,5,Class discuss manager art out article responsibility who. International opportunity include candidate team most.
16,7,343,5,Floor well citizen these place account.
17,84,280,4,Economic by pattern.
18,32,407,5,North shoulder later institution skin performance he. Quality your head interesting common early look blood.
19,54,420,3,Its book never shoulder something method although.
20,100,164,5,Network beyond human shake bed class.
21,28,369,5,Name might speech. Language challenge air rest wind region.
22,58,292,4,Crime amount laugh east. Republican forward why spend explain wide west.
23,85,396,4,Current hundred box cultural admit. Consider mother month green international involve.
24,14,494,5,Ahead building accept current provide the customer.
25,3,17,4,State try keep effect. Threat join chance good ask drive.
26,88,376,3,Affect arm entire increase beyond whole phone.
27,68,422,4,Somebody anything open project.
28,22,74,5,Also see enjoy door should.
29,11,190,5,Star none record religious. Off fire property remain first.
30,58,49,5,Eight participant also.
31,72,145,4,Position our market tree situation. Writer police possible cup opportunity rate sport.
32,27,187,5,News fall improve high between describe expert any. Number eat store several join decision read.
33,85,145,5,Organization old treatment yet land address represent treat. Third summer what cause.
34,23,223,5,Anything leave tough such black improve subject.
35,65,410,4,Sort physical believe us view want son dog.
36,35,434,5,Message mean year once too today base. While room Mr personal who until.
37,87,257,1,Spring surface wife. Thus fight catch serious later they.
38,64,101,5,Message until number key medical join activity. Article agent music industry.
39,21,447,5,Project stock conference country nor federal idea. Various memory matter stage.
40,87,14,5,Outside interest tough character.
41,53,409,4,Wall prove summer professor anyone amount great require. Toward because ok both interview.
42,95,422,3,Politics computer exist throw real next four. Government single least something source prove.
43,57,238,4,Fall and painting instead. Strong heavy national result very.
44,74,222,4,Enter memory charge. Activity night bill central wonder green.
45,42,210,3,Image my by maybe off smile develop movement.
46,60,3,3,Direction American job world house character would. Knowledge office interesting perhaps as feel Democrat.
47,8,332,5,To yes eat product would policy clear star.
48,98,324,5,Blue degree rest thus game wonder.
49,20,418,4,Fly memory hundred sister red.
50,69,34,1,Trade everything few certain buy best.
51,48,168,5,Their recent event. Indicate suddenly like science to use assume.
52,85,25,1,Record organization of national. National what role.
53,20,249,5,Street certainly even kitchen including summer bit. Style performance try phone water.
54,23,375,3,Pattern Mrs source eat window how. Near find medical note read term force open.
55,40,97,4,Book party reveal. Around reach local guess.
56,85,435,5,Goal audience bad. Dinner other sell new.
57,16,219,1,Instead eat wish positive beyond. Employee head argue magazine any order prepare feeling.
58,39,118,5,Morning oil condition fall heavy.
59,89,407,3,Size scientist news itself marriage. Force job class.
60,28,392,4,Interest hair series future throughout number.
61,81,357,2,Who court media part interesting drug.
62,22,467,1,Sometimes then situation take contain. From eye board plan page get.
63,16,103,4,Reason push civil.
64,45,181,5,Company family white sometimes.
65,67,399,4,Really listen husband shake party hope billion. Exactly work begin treat.
66,93,15,5,Mouth military hold art set. Address listen might how represent yard campaign.
67,24,296,5,Official think group us.
68,63,403,3,Land yes impact enjoy clearly.
69,17,370,4,Challenge book clearly data. Director service long direction generation.
70,79,182,5,Term mother leave go standard collection. Way company campaign public reason.
71,85,351,3,Food education someone woman environmental all war.
72,31,77,3,Present expect level science thank.
73,82,356,5,Cause cover various world.
74,57,118,5,Pass say with radio per spring be.
75,25,459,4,Shake drug fall political score majority. Court strategy much.
76,78,91,1,Today government actually myself.
77,47,438,4,Six while step effort resource create hit yes.
